state_number,state_name,accidents,fatalities,fatalities_per_accident,year
38,North Dakota,111,131,1.1801801801801801,2015
46,South Dakota,116,134,1.1551724137931034,2015
50,Vermont,50,57,1.14,2015
19,Iowa,282,320,1.1347517730496455,2015
31,Nebraska,218,246,1.128440366972477,2015
56,Wyoming,129,145,1.124031007751938,2015
48,Texas,3190,3582,1.122884012539185,2015
28,Mississippi,604,677,1.1208609271523178,2015
5,Arkansas,491,550,1.120162932790224,2015
35,New Mexico,269,298,1.1078066914498141,2015
33,New Hampshire,103,114,1.1067961165048543,2015
4,Arizona,811,897,1.1060419235511714,2015
53,Washington,499,551,1.1042084168336674,2015
20,Kansas,322,355,1.1024844720496894,2015
30,Montana,204,224,1.0980392156862746,2015
32,Nevada,297,326,1.0976430976430978,2015
44,Rhode Island,41,45,1.0975609756097562,2015
21,Kentucky,694,761,1.0965417867435159,2015
27,Minnesota,375,411,1.096,2015
15,Hawaii,85,93,1.0941176470588236,2015
40,Oklahoma,590,645,1.0932203389830508,2015
17,Illinois,914,998,1.0919037199124726,2015
16,Idaho,198,216,1.0909090909090908,2015
54,West Virginia,246,268,1.089430894308943,2015
42,Pennsylvania,1102,1200,1.0889292196007259,2015
12,Florida,2699,2938,1.0885513153019637,2015
18,Indiana,752,817,1.086436170212766,2015
24,Maryland,479,520,1.0855949895615866,2015
41,Oregon,411,446,1.0851581508515815,2015
6,California,3123,3387,1.0845341018251682,2015
1,Alabama,784,850,1.0841836734693877,2015
29,Missouri,803,870,1.083437110834371,2015
23,Maine,144,156,1.0833333333333333,2015
2,Alaska,60,65,1.0833333333333333,2015
47,Tennessee,888,962,1.0833333333333333,2015
55,Wisconsin,523,566,1.0822179732313575,2015
37,North Carolina,1275,1379,1.0815686274509804,2015
26,Michigan,896,967,1.0792410714285714,2015
8,Colorado,507,547,1.078895463510848,2015
39,Ohio,1029,1110,1.0787172011661808,2015
49,Utah,258,278,1.0775193798449612,2015
13,Georgia,1329,1432,1.0775018811136192,2015
22,Louisiana,698,752,1.0773638968481376,2015
34,New Jersey,521,561,1.0767754318618041,2015
45,South Carolina,911,979,1.0746432491767288,2015
36,New York,1061,1136,1.0706880301602262,2015
51,Virginia,712,754,1.0589887640449438,2015
25,Massachusetts,327,344,1.0519877675840978,2015
9,Connecticut,257,270,1.0505836575875487,2015
10,Delaware,127,131,1.031496062992126,2015
11,District of Columbia,23,23,1.0,2015
