state_name,state_number,accidents,fatalities,fatalities_per_accident,accidents_per_100k,hour_of_day,land_use_urban,national_highway_system,num_vehicles,num_nonmotorists,num_motorists,num_fatalities,num_drunk_drivers,vehicle_year,rollover,previous_dwi_convictions,previous_speeding_convictions,speeding_related,speed_limit,driver_vision_obscured,is_weekend,multiple_vehicles,nonmotorist_involved,multiple_motorists,drunk_driver_involved,multiple_fatalities,day_of_week_Friday,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,roadway_type_County Road,roadway_type_Interstate,roadway_type_Local Street – Municipality,roadway_type_Local Street – Township,roadway_type_Other,roadway_type_State Highway,roadway_type_U.S. Highway,intersection_Four-Way Intersection,intersection_Not an Intersection,intersection_T-Intersection,light_condition_Dark – Lighted,light_condition_Dark – Not Lighted,light_condition_Dawn,light_condition_Daylight,light_condition_Dusk,atmospheric_conditions_Clear,atmospheric_conditions_Cloudy,"atmospheric_conditions_Fog, Smog, Smoke",atmospheric_conditions_Rain,atmospheric_conditions_Snow,manner_of_collision_Angle,manner_of_collision_Front-to-Front,manner_of_collision_Front-to-Rear,manner_of_collision_Not Collision with Motor Vehicle in Transport,manner_of_collision_Sideswipe – Opposite Direction,manner_of_collision_Sideswipe – Same Direction,body_type_2-Door Sedan/Hardtop/Coupe,body_type_3-Door/2-Door Hatchback,body_type_4-Door Sedan/Hardtop,body_type_5-Door/4-Door Hatchback,"body_type_Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",body_type_Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),body_type_Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),body_type_Large Van – Includes Van-Based Buses,body_type_Minivan,body_type_Motorcycle,"body_type_Single-Unit Straight Truck or Cab-Chassis (GVWR > 26,000 lbs) (Since 2011)",body_type_Standard Pickup,body_type_Station Wagon (Excluding Van and Truck-Based),"body_type_Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",vehicle_conditions_None,vehicle_conditions_Tires,part_of_day_day,part_of_day_evening,part_of_day_morning,part_of_day_night,age,sex,air_bag_deployed,fatality,person_type_Driver of a Motor Vehicle In-Transport,person_type_Passenger of a Motor Vehicle In-Transport,injury_severity_Fatal Injury (K),injury_severity_No Apparent Injury (O),injury_severity_Possible Injury (C),injury_severity_Suspected Minor Injury (B),injury_severity_Suspected Serious Injury (A),seating_position_Front Seat – Left Side (Driver's Side),seating_position_Front Seat – Right Side,seating_position_Other Passenger in Enclosed Passenger or Cargo Area (Since 2009),seating_position_Second Seat – Left Side,seating_position_Second Seat – Middle,seating_position_Second Seat – Right Side,ejection_Not Applicable,ejection_Not Ejected,ejection_Partially Ejected,ejection_Totally Ejected,safety_equipment_use_Child Restraint Type Unknown,safety_equipment_use_DOT-Compliant Motorcycle Helmet,"safety_equipment_use_Helmet, Unknown if DOT-Compliant",safety_equipment_use_Lap and Shoulder Belt Used,safety_equipment_use_No Helmet,safety_equipment_use_None Used,safety_equipment_use_Not Applicable,safety_equipment_use_Restraint Used – Type Unknown,state_code
Alabama,1,881.5,966.5,1.0952072606366348,18.143281302777503,12.862527716186253,0.2753880266075388,0.4088691796008869,1.9011086474501109,0.11662971175166297,2.857206208425721,1.128159645232816,0.2745011086474501,2004.5361419068736,0.20443458980044346,0.03902439024390244,0.2753880266075388,0.2164079822616408,50.44567627494457,0.022172949002217297,0.30687361419068737,0.6226164079822616,0.09090909090909091,0.729490022172949,0.2634146341463415,0.09667405764966741,0.15875831485587583,0.12771618625277162,0.16186252771618626,0.14501108647450112,0.15920177383592019,0.12062084257206208,0.12682926829268293,0.25631929046563195,0.13702882483370288,0.1033259423503326,0.0004434589800443459,0.0,0.27583148558758314,0.2270509977827051,0.14412416851441243,0.7685144124168515,0.08736141906873614,0.10997782705099779,0.30776053215077603,0.015964523281596452,0.5441241685144124,0.019955654101995565,0.7130820399113083,0.18314855875831484,0.016407982261640797,0.08470066518847007,0.0017738359201773836,0.25055432372505543,0.1720620842572062,0.11796008869179601,0.4270509977827051,0.015521064301552107,0.013747228381374724,0.04124168514412417,0.00975609756097561,0.293569844789357,0.012416851441241685,0.04878048780487805,0.12017738359201774,0.04878048780487805,0.007982261640798226,0.02261640798226164,0.0647450110864745,0.012860310421286032,0.17827050997782706,0.025720620842572064,0.07139689578713969,0.9902439024390244,0.00753880266075388,0.2886917960088692,0.3232815964523282,0.21818181818181817,0.16984478935698447,37.98443355433842,0.6638800807149035,0.41856442778898817,0.4419140962813491,0.6777169213029691,0.31680599596425485,0.4419140962813491,0.23234361487460364,0.0441049293744595,0.1369270683194004,0.14471029115018738,0.6808878639377343,0.17959066013260305,0.00807149034303834,0.044681464398962235,0.018449120784087635,0.04871720957048141,0.05707696742577112,0.8169501297203805,0.02796194868838282,0.09801095416546556,0.0,0.042375324300951284,0.003170942634765062,0.5517440184491208,0.014701643124819834,0.33727298933410205,0.010954165465552033,0.0002882675122513693,AL
Alaska,2,69.0,74.5,1.080128205128205,9.327728661775083,13.031578947368422,0.35789473684210527,0.6736842105263158,1.9789473684210526,0.12631578947368421,3.6736842105263157,1.1894736842105262,0.3684210526315789,2004.4,0.16842105263157894,0.06315789473684211,0.25263157894736843,0.28421052631578947,48.0,0.05263157894736842,0.24210526315789474,0.6,0.11578947368421053,0.7368421052631579,0.3684210526315789,0.15789473684210525,0.24210526315789474,0.12631578947368421,0.15789473684210525,0.08421052631578947,0.1368421052631579,0.08421052631578947,0.16842105263157894,0.0,0.0,0.3368421052631579,0.09473684210526316,0.0,0.5578947368421052,0.0,0.12631578947368421,0.8105263157894737,0.06315789473684211,0.11578947368421053,0.22105263157894736,0.021052631578947368,0.5894736842105263,0.05263157894736842,0.5894736842105263,0.3157894736842105,0.0,0.05263157894736842,0.042105263157894736,0.2736842105263158,0.16842105263157894,0.08421052631578947,0.4105263157894737,0.05263157894736842,0.010526315789473684,0.010526315789473684,0.0,0.12631578947368421,0.021052631578947368,0.042105263157894736,0.10526315789473684,0.07368421052631578,0.042105263157894736,0.06315789473684211,0.09473684210526316,0.0,0.28421052631578947,0.031578947368421054,0.010526315789473684,0.9157894736842105,0.05263157894736842,0.2631578947368421,0.3157894736842105,0.2,0.22105263157894736,36.228070175438596,0.6491228070175439,0.34649122807017546,0.44298245614035087,0.6622807017543859,0.33771929824561403,0.44298245614035087,0.2324561403508772,0.03070175438596491,0.13596491228070176,0.15789473684210525,0.6622807017543859,0.17543859649122806,0.0,0.039473684210526314,0.013157894736842105,0.05263157894736842,0.07894736842105263,0.7280701754385965,0.03508771929824561,0.15350877192982457,0.0043859649122807015,0.03070175438596491,0.017543859649122806,0.5175438596491229,0.07017543859649122,0.3026315789473684,0.0043859649122807015,0.008771929824561403,AK
Arizona,4,833.5,924.5,1.1090957281307259,12.103518614547102,12.908352668213457,0.7262180974477959,0.43271461716937354,2.1223897911832945,0.20533642691415313,3.2998839907192576,1.1235498839907192,0.2703016241299304,2005.447795823666,0.16589327146171692,0.04060324825986079,0.2476798143851508,0.2302784222737819,48.46287703016241,0.04988399071925754,0.30452436194895594,0.6734338747099768,0.18851508120649652,0.7853828306264501,0.25696055684454755,0.0962877030162413,0.15893271461716937,0.1316705336426914,0.16763341067285384,0.1368909512761021,0.1537122969837587,0.12587006960556846,0.12529002320185614,0.07076566125290024,0.14559164733178653,0.4547563805104408,0.02668213457076566,0.015081206496519721,0.1902552204176334,0.08990719257540604,0.25754060324825984,0.6316705336426914,0.10730858468677494,0.2517401392111369,0.16415313225058004,0.031902552204176336,0.5139211136890951,0.03480278422273782,0.8404872389791184,0.11948955916473318,0.004060324825986079,0.029582366589327145,0.002320185614849188,0.28016241299303946,0.09048723897911833,0.13979118329466358,0.4124129930394432,0.01740139211136891,0.05278422273781903,0.05046403712296984,0.0075406032482598605,0.27610208816705334,0.02088167053364269,0.037703016241299306,0.12354988399071926,0.04408352668213457,0.008700696055684454,0.03306264501160093,0.09280742459396751,0.004060324825986079,0.15487238979118328,0.027842227378190254,0.05278422273781903,0.968677494199536,0.017981438515081206,0.2633410672853828,0.3480278422273782,0.21867749419953597,0.169953596287703,39.3830303030303,0.6327272727272727,0.1996969696969697,0.3509090909090909,0.6378787878787879,0.3572727272727273,0.3506060606060606,0.3090909090909091,0.08272727272727273,0.1478787878787879,0.10727272727272727,0.6403030303030303,0.18212121212121213,0.013636363636363636,0.056363636363636366,0.020303030303030302,0.04909090909090909,0.08545454545454545,0.813939393939394,0.012727272727272728,0.08424242424242424,0.02303030303030303,0.00030303030303030303,0.034545454545454546,0.61,0.05484848484848485,0.24545454545454545,0.021212121212121213,0.0,AZ
Arkansas,5,497.5,555.5,1.116629085442731,16.671979694330176,13.463030303030303,0.3575757575757576,0.4763636363636364,2.0193939393939395,0.08969696969696969,3.0521212121212122,1.121212121212121,0.2496969696969697,2005.5272727272727,0.15636363636363637,0.06181818181818182,0.1806060606060606,0.14303030303030304,51.872727272727275,0.08242424242424243,0.27151515151515154,0.7042424242424242,0.08242424242424243,0.793939393939394,0.22424242424242424,0.09333333333333334,0.15151515151515152,0.16,0.14303030303030304,0.12848484848484848,0.16606060606060605,0.12121212121212122,0.1296969696969697,0.059393939393939395,0.1393939393939394,0.055757575757575756,0.0048484848484848485,0.0,0.3466666666666667,0.3903030303030303,0.08121212121212121,0.8157575757575758,0.10303030303030303,0.030303030303030304,0.3018181818181818,0.01818181818181818,0.623030303030303,0.01696969696969697,0.7672727272727272,0.07151515151515152,0.01818181818181818,0.11636363636363636,0.006060606060606061,0.22666666666666666,0.22666666666666666,0.1393939393939394,0.32242424242424245,0.05818181818181818,0.02303030303030303,0.04,0.012121212121212121,0.22666666666666666,0.009696969696969697,0.03636363636363636,0.11757575757575757,0.05090909090909091,0.01575757575757576,0.03515151515151515,0.08484848484848485,0.0,0.22303030303030302,0.024242424242424242,0.07878787878787878,0.9818181818181818,0.013333333333333334,0.2921212121212121,0.3987878787878788,0.1890909090909091,0.12,39.47242921013413,0.6522603079980129,0.44709388971684055,0.4475906607054148,0.6810730253353204,0.3174366616989568,0.4475906607054148,0.21063089915548933,0.08147044212617983,0.11624441132637854,0.1425732737208147,0.6810730253353204,0.17287630402384502,0.007948335817188276,0.05563835072031793,0.015399900645802286,0.04570293094883259,0.09140586189766518,0.797317436661699,0.024838549428713365,0.08643815201192251,0.01092896174863388,0.008445106805762544,0.022851465474416296,0.5792349726775956,0.07103825136612021,0.2727272727272727,0.013412816691505217,0.0,AR
California,6,3331.5,3612.0,1.084216203454957,8.531374571306223,12.603320823382235,0.5881951552371204,0.31536449448424886,2.0159217559422267,0.24667349027635618,3.0241100875696576,1.104514955077903,0.32412146025247357,2005.0953030819971,0.14147617422950073,0.042306380075059706,0.11850335494143069,0.2100534516092346,49.744683270783575,0.018764926646195838,0.3212782895485045,0.636301603548277,0.21937905151825315,0.7213692710110315,0.3066075287160241,0.08245195041510292,0.16092346184464915,0.12782895485044923,0.17252359831684294,0.14875469123166155,0.1397702718071193,0.12237006709882861,0.12782895485044923,0.1869669054930058,0.1482997839190265,0.3760946207210281,0.001933356078698965,0.0,0.24132832935289436,0.044922097122711245,0.1987944956215171,0.7027180711929945,0.09689525759126578,0.26657568520413966,0.21596724667349027,0.022063004662799954,0.4661662686227681,0.026384624132832935,0.840896167405891,0.1181621744569544,0.008756965768224724,0.02911406800864324,0.000341180484476288,0.21983395883088822,0.11782099397247811,0.12418969634936881,0.46707608324803823,0.022063004662799954,0.04321619470032981,0.059024223814397814,0.02479244853861026,0.32469009439326735,0.029227794836802,0.038780848402138066,0.09678153076310701,0.04162401910610713,0.01069032184692369,0.030251336290230864,0.11065620379847606,0.008870692596383487,0.10986011600136472,0.0283179802115319,0.0404867508245195,0.9852155123393609,0.010576595018764927,0.23677925622654383,0.3412942113044467,0.19663368588650063,0.2252928465825088,37.404515088689244,0.6599861782999309,0.37310911464332336,0.35038009675190046,0.6529217538201644,0.3405513322583122,0.35038009675190046,0.32043307993549874,0.12032557782385012,0.1155647700222683,0.09329647546648238,0.656146817169623,0.17937495200798587,0.019734316209782693,0.05521001305382784,0.018582507870690317,0.06073869308147124,0.0875374337710205,0.8482684481302312,0.014819933962988559,0.04891346080012286,0.027413038470398526,0.01620210396989941,0.0650387775474161,0.7280196575289872,0.004991169469400291,0.12562389618367503,0.01428242340474545,0.0015357444521231667,CA
Colorado,8,532.5,577.5,1.0842505991389366,9.687659283116062,12.801156069364161,0.5387283236994219,0.6057803468208093,2.0115606936416186,0.11329479768786127,3.0034682080924857,1.0994219653179191,0.3063583815028902,2004.1734104046243,0.2323699421965318,0.055491329479768786,0.2543352601156069,0.261271676300578,49.46820809248555,0.017341040462427744,0.330635838150289,0.6462427745664739,0.09942196531791908,0.761849710982659,0.28439306358381505,0.08901734104046242,0.14104046242774568,0.11791907514450867,0.1745664739884393,0.15606936416184972,0.13179190751445086,0.14450867052023122,0.13410404624277455,0.15838150289017341,0.16416184971098266,0.17341040462427745,0.0023121387283236996,0.0,0.23583815028901733,0.2566473988439306,0.24277456647398843,0.6670520231213873,0.09017341040462427,0.14682080924855492,0.1815028901734104,0.03468208092485549,0.6115606936416185,0.025433526011560695,0.8682080924855491,0.009248554913294798,0.008092485549132947,0.04277456647398844,0.06011560693641618,0.24855491329479767,0.12947976878612716,0.11098265895953757,0.4416184971098266,0.03352601156069364,0.035838150289017344,0.04393063583815029,0.013872832369942197,0.2184971098265896,0.013872832369942197,0.03236994219653179,0.15375722543352602,0.047398843930635835,0.012716763005780347,0.03005780346820809,0.1283236994219653,0.008092485549132947,0.14335260115606938,0.04161849710982659,0.06127167630057803,0.9710982658959537,0.013872832369942197,0.2901734104046243,0.35260115606936415,0.2092485549132948,0.14797687861271677,38.92995780590717,0.6573839662447257,0.3472573839662447,0.3987341772151899,0.6556962025316456,0.3409282700421941,0.3987341772151899,0.28860759493670884,0.08016877637130802,0.09662447257383966,0.1358649789029536,0.6561181434599156,0.17552742616033756,0.00590717299578059,0.06624472573839663,0.018143459915611813,0.05232067510548523,0.11772151898734177,0.7590717299578059,0.019831223628691982,0.10337552742616034,0.016877637130801686,0.0,0.04472573839662447,0.5924050632911393,0.07088607594936709,0.23966244725738398,0.012658227848101266,0.0,CO
Connecticut,9,274.5,287.0,1.045839773999254,7.662590080182069,12.58091286307054,0.8858921161825726,0.3630705394190871,2.0726141078838176,0.17012448132780084,3.136929460580913,1.049792531120332,0.3278008298755187,2006.0995850622407,0.07883817427385892,0.022821576763485476,0.1037344398340249,0.2572614107883817,39.170124481327804,0.03734439834024896,0.35684647302904565,0.6514522821576764,0.15975103734439833,0.7240663900414938,0.3049792531120332,0.04771784232365145,0.14937759336099585,0.10580912863070539,0.1908713692946058,0.16597510373443983,0.17012448132780084,0.10995850622406639,0.1078838174273859,0.0,0.18049792531120332,0.2676348547717842,0.004149377593360996,0.0,0.4149377593360996,0.13278008298755187,0.13070539419087138,0.6970954356846473,0.16597510373443983,0.3049792531120332,0.13485477178423236,0.024896265560165973,0.5228215767634855,0.012448132780082987,0.8526970954356846,0.04771784232365145,0.008298755186721992,0.07053941908713693,0.012448132780082987,0.26556016597510373,0.12033195020746888,0.10580912863070539,0.42531120331950206,0.026970954356846474,0.05394190871369295,0.03319502074688797,0.01037344398340249,0.34232365145228216,0.016597510373443983,0.01867219917012448,0.15145228215767634,0.04771784232365145,0.008298755186721992,0.03319502074688797,0.10995850622406639,0.026970954356846474,0.06224066390041494,0.05394190871369295,0.04149377593360996,0.9605809128630706,0.01867219917012448,0.2800829875518672,0.3070539419087137,0.18049792531120332,0.23236514522821577,39.68443051201672,0.6499477533960293,0.4158829676071055,0.39080459770114945,0.6948798328108673,0.29780564263322884,0.39080459770114945,0.25182863113897597,0.12434691745036573,0.15569487983281086,0.07732497387669801,0.6980146290491118,0.1400208986415883,0.02612330198537095,0.047021943573667714,0.019853709508881923,0.042842215256008356,0.11912225705329153,0.8265412748171369,0.01044932079414838,0.0438871473354232,0.003134796238244514,0.022988505747126436,0.013584117032392894,0.5924764890282131,0.07836990595611286,0.20480668756530826,0.027168234064785787,0.014629049111807733,CT
Delaware,10,121.5,125.0,1.0286790659788216,12.85853894310485,12.8839590443686,0.43686006825938567,0.22866894197952217,1.9829351535836177,0.21160409556313994,2.8088737201365186,1.0170648464163823,0.30716723549488056,2005.6860068259386,0.10238907849829351,0.023890784982935155,0.3037542662116041,0.18771331058020477,48.32764505119454,0.03754266211604096,0.3583617747440273,0.6689419795221843,0.20136518771331058,0.7542662116040956,0.2764505119453925,0.017064846416382253,0.13993174061433447,0.11945392491467577,0.24232081911262798,0.11604095563139932,0.12627986348122866,0.13310580204778158,0.12286689419795221,0.05802047781569966,0.06825938566552901,0.13651877133105803,0.010238907849829351,0.06143344709897611,0.4129692832764505,0.2525597269624573,0.22525597269624573,0.6484641638225256,0.12627986348122866,0.07849829351535836,0.3856655290102389,0.010238907849829351,0.48464163822525597,0.040955631399317405,0.7952218430034129,0.13651877133105803,0.0034129692832764505,0.06143344709897611,0.0034129692832764505,0.3174061433447099,0.14675767918088736,0.06825938566552901,0.4300341296928328,0.0,0.030716723549488054,0.027303754266211604,0.013651877133105802,0.3720136518771331,0.013651877133105802,0.020477815699658702,0.14334470989761092,0.040955631399317405,0.006825938566552901,0.040955631399317405,0.08873720136518772,0.010238907849829351,0.10921501706484642,0.040955631399317405,0.020477815699658702,0.9897610921501706,0.006825938566552901,0.26621160409556316,0.3447098976109215,0.16040955631399317,0.22866894197952217,39.51289398280802,0.667621776504298,0.5300859598853869,0.4498567335243553,0.6762177650429799,0.3209169054441261,0.4498567335243553,0.09742120343839542,0.07163323782234957,0.2808022922636103,0.10028653295128939,0.6790830945558739,0.18051575931232092,0.017191977077363897,0.06017191977077364,0.011461318051575931,0.04297994269340974,0.11174785100286533,0.8166189111747851,0.025787965616045846,0.045845272206303724,0.008595988538681949,0.07449856733524356,0.0,0.5616045845272206,0.02865329512893983,0.23782234957020057,0.02005730659025788,0.03724928366762178,DE
District of Columbia,11,24.5,25.0,1.0192307692307692,3.5982496231412853,13.038461538461538,1.0,0.11538461538461539,1.6538461538461537,0.8461538461538461,2.1153846153846154,1.0,0.2692307692307692,2005.0,0.038461538461538464,0.038461538461538464,0.15384615384615385,0.23076923076923078,29.615384615384617,0.07692307692307693,0.2692307692307692,0.46153846153846156,0.6153846153846154,0.5384615384615384,0.2692307692307692,0.0,0.19230769230769232,0.15384615384615385,0.15384615384615385,0.11538461538461539,0.19230769230769232,0.07692307692307693,0.11538461538461539,0.0,0.11538461538461539,0.8846153846153846,0.0,0.0,0.0,0.0,0.3076923076923077,0.5769230769230769,0.07692307692307693,0.46153846153846156,0.038461538461538464,0.0,0.5,0.0,0.9615384615384616,0.0,0.0,0.038461538461538464,0.0,0.23076923076923078,0.0,0.038461538461538464,0.6153846153846154,0.0,0.11538461538461539,0.038461538461538464,0.0,0.34615384615384615,0.038461538461538464,0.07692307692307693,0.11538461538461539,0.038461538461538464,0.0,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0,0.0,1.0,0.0,0.11538461538461539,0.38461538461538464,0.15384615384615385,0.34615384615384615,36.91044776119403,0.6417910447761194,0.3283582089552239,0.2835820895522388,0.6417910447761194,0.3582089552238806,0.2835820895522388,0.26865671641791045,0.13432835820895522,0.14925373134328357,0.16417910447761194,0.6417910447761194,0.11940298507462686,0.11940298507462686,0.029850746268656716,0.0,0.07462686567164178,0.11940298507462686,0.8507462686567164,0.014925373134328358,0.014925373134328358,0.0,0.07462686567164178,0.014925373134328358,0.5373134328358209,0.014925373134328358,0.1044776119402985,0.11940298507462686,0.029850746268656716,DC
Florida,12,2817.0,3057.0,1.0853318757089034,13.796832878084619,13.10957246571659,0.7145738101640225,0.5879268620596935,1.9924710943802098,0.2036837859639688,2.9735143855875235,1.1090346867437484,0.23433718741597204,2006.2379671954827,0.10352245227211616,0.013310029577843507,0.191045980102178,0.062247916106480235,47.24791610648024,0.037913417585372415,0.3168862597472439,0.6699381554181232,0.19131486958859908,0.754235009411132,0.22479161064802367,0.08228018284485077,0.16066146813659585,0.12274805055122345,0.16429147620328044,0.15259478354396344,0.14506587792417316,0.12570583490185533,0.1289325087389083,0.09989244420543157,0.11737026082280183,0.13000806668459264,0.10970691045980102,0.010621134713632697,0.3023662274805055,0.22371605270233935,0.24294165098144663,0.6086313525141167,0.14641032535627857,0.2648561441247647,0.22532938962086582,0.015864479698843775,0.4546921215380479,0.035224522721161604,0.7448238773863942,0.1887604194675988,0.013310029577843507,0.052433449852110785,0.0,0.285829524065609,0.11710137133638075,0.1581070180155956,0.40844312987362197,0.0032266738370529714,0.0225867168593708,0.046786770637268084,0.011024468943264318,0.323877386394192,0.015864479698843775,0.030384511965582145,0.102984673299274,0.04060231244958322,0.018150040333422962,0.03199784888410863,0.1292013982253294,0.011696692659317021,0.11884915299811777,0.03562785695079322,0.03549341220758268,0.9727077171282603,0.015057811239580532,0.23070717934928744,0.3525141166980371,0.18472707717128262,0.23205162678139285,39.84291484059465,0.6462146601357738,0.3689095127610209,0.34871530463177797,0.6781816619403627,0.320013749248088,0.34871530463177797,0.33049755091518435,0.09358081979891725,0.11205637191716078,0.1151499527369597,0.6796425195497121,0.16980321388674058,0.01263212168084558,0.05216120993383174,0.017358425711093924,0.04958322591733265,0.11145484231331099,0.8253845492824611,0.008507347254447023,0.05465326114978087,0.001288992008249549,0.051731545931081896,0.0004296640027498496,0.6559250665979204,0.05705937956518003,0.18020108275328692,0.01108533127094612,0.008679212855546962,FL
